"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","184337885113119297_1","2025-08-05","Bihar","Soft Pure COTTON Hand Batik Block Printed Saree with Pure Cotton Printed Unstiched Blouse , pure cotton saree, mulmul cotton , Printed Daily Wear Pure Cotton Saree , Black & pink cotton saree","ctn-pink-black","Free Size","1","488.0","488.0","TP0LGEU05439769"
"DELIVERED","184543431358648576_1","2025-08-06","Uttar Pradesh","Soft Pure COTTON Hand Batik Block Printed Saree with Pure Cotton Printed Unstiched Blouse , pure cotton saree, mulmul cotton , Printed Daily Wear Pure Cotton Saree , Black & pink cotton saree","ctn-pink-black","Free Size","1","488.0","488.0","TP0LGEU05439768"
"RTO_COMPLETE","184633211778789952_1","2025-08-06","Telangana","Soft Pure COTTON Hand Batik Block Printed Saree with Pure Cotton Printed Unstiched Blouse , pure cotton saree, mulmul cotton , Printed Daily Wear Pure Cotton Saree , Black & pink cotton saree","ctn-pink-black","Free Size","1","488.0","488.0","TP0LGEU05439748"
"RTO_COMPLETE","184933570153611968_1","2025-08-07","Odisha","Soft Pure COTTON Hand Batik Block Printed Saree with Pure Cotton Printed Unstiched Blouse , pure cotton saree, mulmul cotton , Printed Daily Wear Pure Cotton Saree , Black & pink cotton saree","ctn-pink-black","Free Size","1","488.0","488.0","TP0LGEU05439747"
"DELIVERED","185050322430116928_1","2025-08-07","Gujarat","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","494.0","494.0","TP0DGEU06109240"
"DELIVERED","185050988792808960_1","2025-08-07","Gujarat","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","494.0","494.0","TP0DGEU08200369"
"DELIVERED","185051307886576320_1","2025-08-07","Gujarat","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","494.0","494.0",
"DELIVERED","185051504796566976_1","2025-08-07","Gujarat","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","494.0","494.0",
"RTO_COMPLETE","185281283920003712_1","2025-08-08","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439759"
"CANCELLED","185282610938037312_1","2025-08-08","West Bengal","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0",
"DELIVERED","185285082038170176_1","2025-08-08","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","494.0","494.0","TP0LGEU05439749"
"RTO_COMPLETE","185430027013489280_1","2025-08-08","Uttar Pradesh","Aishani Voguish Sarees ,  Bandhani Georgette Saree , low budget saree , Soft saree , Designer saree","greeen---sadiii","Free Size","1","499.0","499.0","TP0LGEU05439756"
"CANCELLED","185641202006950592_1","2025-08-09","Uttar Pradesh","Parrot Green Leheriya Saree with Embroidery Border Lace & Heavy Designer","green--sadi","Free Size","1","499.0","499.0",
"RTO_COMPLETE","185668062589813440_1","2025-08-09","Bihar","Parrot Green Leheriya Saree with Embroidery Border Lace & Heavy Designer","green--sadi","Free Size","1","499.0","499.0","TP0LGEU05439758"
"DELIVERED","185671251809043072_1","2025-08-09","Gujarat","Parrot Green Leheriya Saree with Embroidery Border Lace & Heavy Designer","green--sadi","Free Size","1","499.0","499.0","TP0LGEU05439757"
"DELIVERED","186009071508571200_1","2025-08-10","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","494.0","494.0","TP0LGEU05439750"
"DELIVERED","186143907573992256_1","2025-08-10","Uttar Pradesh","Women's Leheriya, Embroidered saree , Designer saree","dot--line--blue","Free Size","1","494.0","494.0","TP0LGEU05439005"
"RTO_COMPLETE","186144108476959616_1","2025-08-10","Haryana","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439004"
"DELIVERED","186848236886346432_1","2025-08-12","Bihar","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse , low budget saree , Soft saree , Designer saree","red-sadi","Free Size","1","499.0","499.0","TP0LGEU05438980"
"DELIVERED","186853783925719680_1","2025-08-12","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438995"
"RTO_COMPLETE","186856451733750400_1","2025-08-12","Maharashtra","Striped Bandhani Georgette Saree ","blue-sadi","Free Size","1","499.0","499.0","TP0LGEU05438990"
"DELIVERED","186858772118925888_1","2025-08-12","uttar pradesh","Striped Bandhani Georgette Saree ","blue-sadi","Free Size","1","499.0","499.0","TP0LGEU05438994"
"DELIVERED","186859218605731968_1","2025-08-12","Jharkhand","Trendy Attractive Sarees , bandhej sarees , bandhani sarees ,  trending sarees , new collection , green saree , georgette saree","dott--linee---green","Free Size","1","499.0","499.0","TP0LGEU05438985"
"DELIVERED","187070838910255744_1","2025-08-13","Bihar","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438986"
"DELIVERED","187077478795477632_1","2025-08-13","Uttar Pradesh","Green Georgette Leheriya Saree with Embroidered Blouse and Lace","339765791_4","Free Size","1","499.0","499.0","TP0LGEU05438991"
"RTO_COMPLETE","187078147295121664_1","2025-08-13","Maharashtra","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05438982"
"DELIVERED","187079669367210624_1","2025-08-13","Uttar Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse , low budget saree , Soft saree , Designer saree","red-sadi","Free Size","1","499.0","499.0","TP0LGEU05438981"
"RTO_COMPLETE","187079952046256704_1","2025-08-13","Gujarat","Striped Bandhani Georgette Saree ","blue-sadi","Free Size","1","499.0","499.0","TP0LGEU05438992"
"DELIVERED","187089012237599424_1","2025-08-13","Bihar","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438977"
"DELIVERED","187100108159779520_1","2025-08-13","Bihar","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438989"
"DELIVERED","187103391050134080_1","2025-08-13","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438988"
"RTO_COMPLETE","187110529767075968_1","2025-08-13","Karnataka","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05438976"
"DELIVERED","187110660391600768_1","2025-08-13","Jharkhand","Aishani Voguish Sarees ,  Bandhani Georgette Saree , low budget saree , Soft saree , Designer saree","greeen---sadiii","Free Size","1","499.0","499.0","TP6CHEU06503229"
"DELIVERED","187110660391600768_2","2025-08-13","Jharkhand","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP6CHEU06503229"
"DELIVERED","187114904976650817_1","2025-08-13","Uttar Pradesh","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","499.0","499.0","TP0LGEU05438983"
"DELIVERED","187136279811690753_1","2025-08-13","Uttarakhand","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438987"
"DELIVERED","187201300725993728_1","2025-08-13","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05438978"
"DELIVERED","187201805749350528_1","2025-08-13","Delhi","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","2","499.0","499.0","TP0LGEU05438993"
"DELIVERED","187202810851389568_1","2025-08-13","Uttar Pradesh","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05438979"
"DELIVERED","187284517693715008_1","2025-08-14","Telangana","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse , low budget saree , Soft saree , Designer saree","red-sadi","Free Size","1","499.0","499.0","TP0DGEU07106038"
"DELIVERED","188930077844599360_1","2025-08-18","Gujarat","Green Georgette Leheriya Saree with Embroidered Blouse and Lace","339765791_4","Free Size","1","489.0","489.0",
"DELIVERED","188930403062542912_1","2025-08-18","Gujarat","Green Georgette Leheriya Saree with Embroidered Blouse and Lace","339765791_4","Free Size","1","499.0","499.0","TP0DGEU07105943"
"DELIVERED","188930670005092992_1","2025-08-18","Gujarat","Aishani Voguish Sarees ,  Bandhani Georgette Saree , low budget saree , Soft saree , Designer saree","greeen---sadiii","Free Size","1","494.0","494.0","TP0DGEU06109187"
"DELIVERED","188930888309736128_1","2025-08-18","Gujarat","Aishani Voguish Sarees ,  Bandhani Georgette Saree , low budget saree , Soft saree , Designer saree","greeen---sadiii","Free Size","1","494.0","494.0","TP0JGEU04822319"
"DELIVERED","189014822095208640_1","2025-08-18","Tripura","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse , low budget saree , Soft saree , Designer saree","dot-line-green","Free Size","1","491.0","491.0","TP0LGEU05438947"
"RTO_COMPLETE","189048175251980928_1","2025-08-18","Delhi","Kashvi Superior Sarees","green_sadi","Free Size","1","491.0","491.0","TP0LGEU05439533"
"DELIVERED","189315155354480768_1","2025-08-19","Uttar Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse , low budget saree , Soft saree , Designer saree","red-sadi","Free Size","1","499.0","499.0","TP0LGEU05439537"
"DELIVERED","189321624359563392_1","2025-08-19","Kerala","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439527"
"DELIVERED","189324759733142144_1","2025-08-19","Uttar Pradesh","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05438946"
"CANCELLED","189330855351861440_1","2025-08-19","Madhya Pradesh","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0",
"DELIVERED","189337920074707520_1","2025-08-19","Assam","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05439531"
"DELIVERED","189357181219684544_1","2025-08-19","Karnataka","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439528"
"CANCELLED","189371307270369408_1","2025-08-19","Maharashtra","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0",
"DELIVERED","189394226580324992_1","2025-08-19","Bihar","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05439529"
"DELIVERED","189401851240878336_1","2025-08-19","Madhya Pradesh","Striped Bandhani Georgette Saree ","blue-sadi","Free Size","1","499.0","499.0","TP0LGEU05439519"
"CANCELLED","189548494380568832_1","2025-08-20","Uttar Pradesh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","494.0","494.0",
"DELIVERED","189693110535881344_1","2025-08-20","Chhattisgarh","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439522"
"DELIVERED","189783878700696256_1","2025-08-20","Maharashtra","Striped Bandhani Georgette Saree ","pink-sadi","Free Size","1","499.0","499.0","TP0LGEU05439520"
"DELIVERED","189816389836501120_1","2025-08-21","Maharashtra","Women's Leheriya, Embroidered saree , Designer saree","dot--line--blue","Free Size","1","499.0","499.0","TP0LGEU05439512"
"RTO_COMPLETE","189968124521791680_1","2025-08-21","Telangana","Green Georgette Leheriya Saree with Embroidered Blouse and Lace","greenn--sadi-01","Free Size","1","499.0","499.0","TP0LGEU05439322"
"DELIVERED","189981448274739840_1","2025-08-21","Telangana","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439516"
"DELIVERED","189993333513285760_1","2025-08-21","Bihar","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","1142070265_20","Free Size","1","499.0","499.0","TP0LGEU05439325"
"DELIVERED","189995508726526528_1","2025-08-21","Haryana","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","1142070265_20","Free Size","1","499.0","499.0","TP0LGEU05439338"
"RTO_LOCKED","189998546967364224_1","2025-08-21","Maharashtra","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","852277079_12","Free Size","1","499.0","499.0","TP0LGEU05439339"
"DELIVERED","189999398774870272_1","2025-08-21","Madhya Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","748469098_38","Free Size","1","499.0","499.0","TP0LGEU05439521"
"CANCELLED","190024880950899264_1","2025-08-21","Bihar","Women's Leheriya, Embroidered saree , Designer saree","dot--line--blue","Free Size","1","499.0","499.0",
"DELIVERED","190034135300993600_1","2025-08-21","Uttar Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","1806631482_41","Free Size","1","499.0","499.0","TP0LGEU05439513"
"CANCELLED","190039581100372096_1","2025-08-21","Uttar Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse","KAJUKATRI_RED__1","Free Size","1","566.0","566.0",
"RTO_COMPLETE","190045722341773568_1","2025-08-21","Uttar Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse","KAJUKATRI_BLACK__1","Free Size","1","566.0","566.0","TP0LGEU05439517"
"DELIVERED","190063032587547200_1","2025-08-21","West Bengal","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439330"
"DELIVERED","190063772168405184_1","2025-08-21","Uttar Pradesh","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","499.0","499.0","TP0LGEU05439514"
"SHIPPED","190086031315600000_1","2025-08-21","Madhya Pradesh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","SADI-Pink__15","Free Size","1","499.0","499.0","TP0LGEU05439317"
"DELIVERED","190114401326497088_1","2025-08-21","Uttarakhand","Striped Bandhani Georgette Saree ","green-sadi","Free Size","1","499.0","499.0","TP0LGEU05439340"
"DELIVERED","190148294999310976_1","2025-08-21","Bihar","Women's Leheriya, Embroidered saree , Designer saree","dot--line--blue","Free Size","1","499.0","499.0","TP0LGEU05439518"
"CANCELLED","190160605229904000_1","2025-08-21","Madhya Pradesh","Striped Bandhani Georgette Saree , low budget saree , Soft saree , Designer saree ,  embroidery saree, ","kajukatri-red","Free Size","1","565.0","565.0",
"DELIVERED","190313508548874496_1","2025-08-22","Delhi","Striped Bandhani Georgette Saree ","purple-sadi","Free Size","1","499.0","499.0","TP0LGEU05439331"
"DELIVERED","190480543313329088_1","2025-08-22","Chhattisgarh","Women's Leheriya, Bandhani Printed Embroidered Green Pure Georgette Saree With Heavy Work Blouse trending","SADI-GREEN__9","Free Size","1","499.0","499.0","TP0LGEU05439326"
"SHIPPED","190701140160049280_1","2025-08-23","Uttar Pradesh","Women's Leheriya, Embroidered saree , Designer saree","dot--line--green","Free Size","1","499.0","499.0","TP0LGEU05439323"
